published_propagated_anno,published_propagated_anno_level2,published_propagated_anno_level1,published_propagated_anno_level0
DOUBLET,Doublet,Doublet,Doublet
DOUBLET_LYMPHOID_MACROPHAGE,Doublet (B Cell),Doublet,Doublet
DOUBLET_ERY_B,Doublet (B Cell),Doublet,Doublet
DOUBLET_VSMC_ERYTHROCYTE,Doublet (ERY),Doublet,Doublet
DOUBLETS_FIBRO_ERY,Doublet (ERY),Doublet,Doublet
DOUBLET_ENDOTHELIUM_ERYTHROCYTE,Doublet (ERY),Doublet,Doublet
DOUBLET_IMMUNE_FIBROBLAST,Doublet (Unspecified Immune),Doublet,Doublet
HE,Haemogenic Endothelium,Endothelium (Haemogenic),Endothelium
Lymphatic Endothelial,Lymphatic Endothelium,Endothelium (Vascular),Endothelium
LE,Lymphatic Endothelium,Endothelium (Vascular),Endothelium
Early LE,Lymphatic Endothelium,Endothelium (Vascular),Endothelium
LymphEndo,Lymphatic Endothelium,Endothelium (Vascular),Endothelium
Endothelial,Vascular Endothelium,Endothelium (Vascular),Endothelium
ENDOTHELIUM_I,Vascular Endothelium,Endothelium (Vascular),Endothelium
Postcapillary venules,Vascular Endothelium,Endothelium (Vascular),Endothelium
ENDOTHELIUM,Vascular Endothelium,Endothelium (Vascular),Endothelium
ENDOTHELIUM_III,Vascular Endothelium,Endothelium (Vascular),Endothelium
Arterioles,Vascular Endothelium,Endothelium (Vascular),Endothelium
VenousEndo,Vascular Endothelium,Endothelium (Vascular),Endothelium
Capillaries,Vascular Endothelium,Endothelium (Vascular),Endothelium
ENDOTHELIUM_IV,Vascular Endothelium,Endothelium (Vascular),Endothelium
ENDOTHELIUM_AEC,Vascular Endothelium,Endothelium (Vascular),Endothelium
Venules,Vascular Endothelium,Endothelium (Vascular),Endothelium
Capillary arterioles,Vascular Endothelium,Endothelium (Vascular),Endothelium
ENDOTHELIUM_II,Vascular Endothelium,Endothelium (Vascular),Endothelium
ENDOTHELIUM_VWF,Vascular Endothelium,Endothelium (Vascular),Endothelium
ENDOTHELIUM_PROLIF_AEC,Vascular Endothelium,Endothelium (Vascular),Endothelium
ENDOTHELIUM_PROLIF_SINUSOIDAL_EC,Vascular Endothelium,Endothelium (Vascular),Endothelium
ENDOTHELIUM_SINUSOIDAL,Vascular Endothelium,Endothelium (Vascular),Endothelium
Early endothelial cells,Vascular Endothelium,Endothelium (Vascular),Endothelium
IMMATURE_ENDOTHELIUM,Vascular Endothelium,Endothelium (Vascular),Endothelium
ArterialEndo,Vascular Endothelium,Endothelium (Vascular),Endothelium
sinusoidal EC,Vascular Endothelium,Endothelium (Vascular),Endothelium
tip EC,Vascular Endothelium,Endothelium (Vascular),Endothelium
ENDOTHELIUM_V,Vascular Endothelium,Endothelium (Vascular),Endothelium
immature EC,Vascular Endothelium,Endothelium (Vascular),Endothelium
proliferating EC,Vascular Endothelium,Endothelium (Vascular),Endothelium
POSTN+ basal,Keratinocyte,Epidermal (Keratinocyte),Epidermal
Suprabasal IFE,Keratinocyte,Epidermal (Keratinocyte),Epidermal
DPYSL2+ basal,Keratinocyte,Epidermal (Keratinocyte),Epidermal
Placode,Keratinocyte,Epidermal (Keratinocyte),Epidermal
Immature suprabasal,Keratinocyte,Epidermal (Keratinocyte),Epidermal
Immature basal,Keratinocyte,Epidermal (Keratinocyte),Epidermal
KERATINOCYTE,Keratinocyte,Epidermal (Keratinocyte),Epidermal
Companion layer,Keratinocyte,Epidermal (Keratinocyte),Epidermal
Matrix,Keratinocyte,Epidermal (Keratinocyte),Epidermal
Inner root sheath,Keratinocyte,Epidermal (Keratinocyte),Epidermal
Cuticle/cortex,Keratinocyte,Epidermal (Keratinocyte),Epidermal
Outer root sheath,Keratinocyte,Epidermal (Keratinocyte),Epidermal
Melanocyte,Melanocyte,Epidermal (Melanocyte),Epidermal
Melanoblast,Melanocyte,Epidermal (Melanocyte),Epidermal
Melano,Melanocyte,Epidermal (Melanocyte),Epidermal
MELANOCYTE,Melanocyte,Epidermal (Melanocyte),Epidermal
Erythroid,Erythroid,Erythroid,Erythroid
ERYTHROID,Erythroid,Erythroid,Erythroid
LATE_ERY,Erythroid,Erythroid,Erythroid
PrimErythro2,Erythroid,Erythroid,Erythroid
MID_ERY,Erythroid,Erythroid,Erythroid
EARLY_ERY,Erythroid,Erythroid,Erythroid
early erythroid,Erythroid,Erythroid,Erythroid
Early erythroid (embryonic),Erythroid,Erythroid,Erythroid
Erythroid (fetal),Erythroid,Erythroid,Erythroid
ERYTHROCYTE,Erythroid,Erythroid,Erythroid
mid erythroid,Erythroid,Erythroid,Erythroid
LOW_QUALITY_MID_ERY_(HIGH_RIBO),Erythroid,Erythroid,Erythroid
late erythroid,Erythroid,Erythroid,Erythroid
MID_ERYTHROID,Erythroid,Erythroid,Erythroid
DefReticulo,Erythroid,Erythroid,Erythroid
PrimErythro1,Erythroid,Erythroid,Erythroid
Early erythroid,Erythroid,Erythroid,Erythroid
DefErythro,Erythroid,Erythroid,Erythroid
erythroid macrophage,Erythroid,Erythroid,Erythroid
CYCLING_YS_ERY,Erythroid,Erythroid,Erythroid
YS_ERY,Erythroid,Erythroid,Erythroid
Erythroid (embryonic),Erythroid,Erythroid,Erythroid
EARLY_ERYTHROID,Erythroid,Erythroid,Erythroid
pre B progenitor,B Cell,Immune (Lymphoid),Immune
LATE_PRO_B,B Cell,Immune (Lymphoid),Immune
pro B progenitor,B Cell,Immune (Lymphoid),Immune
SMALL_PRE_B,B Cell,Immune (Lymphoid),Immune
pre pro B progenitor,B Cell,Immune (Lymphoid),Immune
PRO_B,B Cell,Immune (Lymphoid),Immune
PRE_PRO_B,B Cell,Immune (Lymphoid),Immune
Pre B cell,B Cell,Immune (Lymphoid),Immune
naive B cell,B Cell,Immune (Lymphoid),Immune
LARGE_PRE_B,B Cell,Immune (Lymphoid),Immune
Pro B cell,B Cell,Immune (Lymphoid),Immune
B_CELL,B Cell,Immune (Lymphoid),Immune
B cell,B Cell,Immune (Lymphoid),Immune
MATURE_B,B Cell,Immune (Lymphoid),Immune
immature B cell,B Cell,Immune (Lymphoid),Immune
IMMATURE_B,B Cell,Immune (Lymphoid),Immune
CYCLING_B,B Cell,Immune (Lymphoid),Immune
B1,B Cell,Immune (Lymphoid),Immune
Pre pro B cell,B Cell,Immune (Lymphoid),Immune
B,B Cell,Immune (Lymphoid),Immune
PLASMA_B,B Cell,Immune (Lymphoid),Immune
LYMPHOID B LIN,B Cell,Immune (Lymphoid),Immune
ILC3,ILC,Immune (Lymphoid),Immune
CYCLING_ILC,ILC,Immune (Lymphoid),Immune
ILC2,ILC,Immune (Lymphoid),Immune
LTi,ILC,Immune (Lymphoid),Immune
ILC_PRECURSOR,ILC,Immune (Lymphoid),Immune
CYCLING_NK,NK Cell,Immune (Lymphoid),Immune
NK,NK Cell,Immune (Lymphoid),Immune
NK cell,NK Cell,Immune (Lymphoid),Immune
CD56 bright NK,NK Cell,Immune (Lymphoid),Immune
NK_T_CELL,NK Cell,Immune (Lymphoid),Immune
NK T cell,NK Cell,Immune (Lymphoid),Immune
mature NK,NK Cell,Immune (Lymphoid),Immune
CD8+T,T Cell,Immune (Lymphoid),Immune
DP(P)_T,T Cell,Immune (Lymphoid),Immune
CD8AA,T Cell,Immune (Lymphoid),Immune
TYPE_1_INNATE_T,T Cell,Immune (Lymphoid),Immune
ABT(ENTRY),T Cell,Immune (Lymphoid),Immune
DN(P)_T,T Cell,Immune (Lymphoid),Immune
DN(Q)_T,T Cell,Immune (Lymphoid),Immune
TREG,T Cell,Immune (Lymphoid),Immune
CYCLING_T,T Cell,Immune (Lymphoid),Immune
DP(Q)_T,T Cell,Immune (Lymphoid),Immune
TYPE_3_INNATE_T,T Cell,Immune (Lymphoid),Immune
CD4 T cell,T Cell,Immune (Lymphoid),Immune
CD8 T cell,T Cell,Immune (Lymphoid),Immune
CD4+T,T Cell,Immune (Lymphoid),Immune
DN(early)_T,T Cell,Immune (Lymphoid),Immune
Innate T type3,T Cell,Immune (Lymphoid),Immune
Treg,T Cell,Immune (Lymphoid),Immune
Innate T type1,T Cell,Immune (Lymphoid),Immune
EARLY_MK,Megakaryocyte,Immune (MK),Immune
LATE_MK,Megakaryocyte,Immune (MK),Immune
early MK,Megakaryocyte,Immune (MK),Immune
MK,Megakaryocyte,Immune (MK),Immune
Megakaryo,Megakaryocyte,Immune (MK),Immune
Megakaryocyte,Megakaryocyte,Immune (MK),Immune
DC1,DC,Immune (Myeloid),Immune
CYCLING_DC,DC,Immune (Myeloid),Immune
DC2,DC,Immune (Myeloid),Immune
LC,DC,Immune (Myeloid),Immune
MIGRATORY_DC,DC,Immune (Myeloid),Immune
PDC,DC,Immune (Myeloid),Immune
pDC,DC,Immune (Myeloid),Immune
Inflammatory DC,DC,Immune (Myeloid),Immune
CYCLING_PDC,DC,Immune (Myeloid),Immune
ASDC,DC,Immune (Myeloid),Immune
PRE DC2,DC,Immune (Myeloid),Immune
tDC,DC,Immune (Myeloid),Immune
PRE_DC2,DC,Immune (Myeloid),Immune
DC3,DC,Immune (Myeloid),Immune
AS_DC,DC,Immune (Myeloid),Immune
LANGERHANS_CELLS,DC,Immune (Myeloid),Immune
DC2_CYCLING,DC,Immune (Myeloid),Immune
MAC DC2,DC,Immune (Myeloid),Immune
PROMYELOCYTE,Granulocyte,Immune (Myeloid),Immune
neutrophil,Granulocyte,Immune (Myeloid),Immune
promyelocyte,Granulocyte,Immune (Myeloid),Immune
EOSINOPHIL_BASOPHIL,Granulocyte,Immune (Myeloid),Immune
myelocyte,Granulocyte,Immune (Myeloid),Immune
NEUTROPHIL,Granulocyte,Immune (Myeloid),Immune
MYELOCYTE,Granulocyte,Immune (Myeloid),Immune
basophil,Granulocyte,Immune (Myeloid),Immune
Myelocyte,Granulocyte,Immune (Myeloid),Immune
eosinophil,Granulocyte,Immune (Myeloid),Immune
MACROPHAGE_KUPFFER_LIKE,Macrophage,Immune (Myeloid),Immune
LYVE1++ macrophage,Macrophage,Immune (Myeloid),Immune
stromal macrophage,Macrophage,Immune (Myeloid),Immune
MACROPHAGE_LYVE1_HIGH,Macrophage,Immune (Myeloid),Immune
MACROPHAGE_MHCII_HIGH,Macrophage,Immune (Myeloid),Immune
MACROPHAGE_IRON_RECYCLING,Macrophage,Immune (Myeloid),Immune
MACROPHAGE_PROLIFERATING,Macrophage,Immune (Myeloid),Immune
MHCII+ macrophage,Macrophage,Immune (Myeloid),Immune
MACROPHAGE_ERY,Macrophage,Immune (Myeloid),Immune
TML macrophage,Macrophage,Immune (Myeloid),Immune
MICROGLIA,Macrophage,Immune (Myeloid),Immune
LOW_QUALITY_MACROPHAGE,Macrophage,Immune (Myeloid),Immune
Iron-recycling macrophage,Macrophage,Immune (Myeloid),Immune
Macro,Macrophage,Immune (Myeloid),Immune
MACROPHAGE_TREM2,Macrophage,Immune (Myeloid),Immune
MACROPHAGE_PERI,Macrophage,Immune (Myeloid),Immune
MACROPHAGE_MICROGLIA,Macrophage,Immune (Myeloid),Immune
MACROPHAGE_PRE_MAC,Macrophage,Immune (Myeloid),Immune
MAST_CELL,Mast Cell,Immune (Myeloid),Immune
Mast cell (medium),Mast Cell,Immune (Myeloid),Immune
Mast cell (most mature),Mast Cell,Immune (Myeloid),Immune
mast cell,Mast Cell,Immune (Myeloid),Immune
Mast cell (earliest),Mast Cell,Immune (Myeloid),Immune
Mast,Mast Cell,Immune (Myeloid),Immune
CD14_MONO,Monocyte,Immune (Myeloid),Immune
PROMONOCYTE,Monocyte,Immune (Myeloid),Immune
Monocyte,Monocyte,Immune (Myeloid),Immune
MONOCYTE_II_CCR2,Monocyte,Immune (Myeloid),Immune
Monocyte precursor,Monocyte,Immune (Myeloid),Immune
MONOCYTE,Monocyte,Immune (Myeloid),Immune
CD14 monocyte,Monocyte,Immune (Myeloid),Immune
promonocyte,Monocyte,Immune (Myeloid),Immune
MONOCYTE_I_CXCR4,Monocyte,Immune (Myeloid),Immune
MONOCYTE_0,Monocyte,Immune (Myeloid),Immune
MONOCYTE_III_IL1B,Monocyte,Immune (Myeloid),Immune
Monocyte (activated/differentiating),Monocyte,Immune (Myeloid),Immune
monocytoid macrophage,Monocyte,Immune (Myeloid),Immune
MONOCYTE_1,Monocyte,Immune (Myeloid),Immune
MONOCYTE_MACROPHAGE,Monocyte,Immune (Myeloid),Immune
MONO MAC DC2,Monocyte,Immune (Myeloid),Immune
MONO MAC PRE DC2,Monocyte,Immune (Myeloid),Immune
Neutrophil2,Neutrophil,Immune (Myeloid),Immune
Neutrophil1,Neutrophil,Immune (Myeloid),Immune
osteoclast,Osteoclast,Immune (Myeloid),Immune
OSTEOCLAST,Osteoclast,Immune (Myeloid),Immune
HSC_MPP,Haem Progenitor,Immune (Progenitor),Immune
ELP,Haem Progenitor,Immune (Progenitor),Immune
MOP,Haem Progenitor,Immune (Progenitor),Immune
MEP,Haem Progenitor,Immune (Progenitor),Immune
MEMP,Haem Progenitor,Immune (Progenitor),Immune
CMP,Haem Progenitor,Immune (Progenitor),Immune
Eo/baso/mast cell progenitor,Haem Progenitor,Immune (Progenitor),Immune
CYCLING_MEMP,Haem Progenitor,Immune (Progenitor),Immune
GMP,Haem Progenitor,Immune (Progenitor),Immune
LMPP_MLP,Haem Progenitor,Immune (Progenitor),Immune
DEF_HSPC_2,Haem Progenitor,Immune (Progenitor),Immune
CYCLING_MPP,Haem Progenitor,Immune (Progenitor),Immune
Lymphoid progenitor,Haem Progenitor,Immune (Progenitor),Immune
DC precursor,Haem Progenitor,Immune (Progenitor),Immune
CMP/GMP,Haem Progenitor,Immune (Progenitor),Immune
LMPP/ELP,Haem Progenitor,Immune (Progenitor),Immune
eo/baso/mast precursor,Haem Progenitor,Immune (Progenitor),Immune
NK progenitor,Haem Progenitor,Immune (Progenitor),Immune
HSC,Haem Progenitor,Immune (Progenitor),Immune
myeloid DC progenitor,Haem Progenitor,Immune (Progenitor),Immune
MPP myeloid,Haem Progenitor,Immune (Progenitor),Immune
pDC progenitor,Haem Progenitor,Immune (Progenitor),Immune
LMPP,Haem Progenitor,Immune (Progenitor),Immune
HSC/MPP,Haem Progenitor,Immune (Progenitor),Immune
ILC precursor,Haem Progenitor,Immune (Progenitor),Immune
DC_PROGENITOR,Haem Progenitor,Immune (Progenitor),Immune
MEMP - Megak,Haem Progenitor,Immune (Progenitor),Immune
MEMP - Early erythroid,Haem Progenitor,Immune (Progenitor),Immune
DEF_HSPC_1,Haem Progenitor,Immune (Progenitor),Immune
NEUTROPHIL_PRECURSOR,Haem Progenitor,Immune (Progenitor),Immune
PRIM_HSPC_2,Haem Progenitor,Immune (Progenitor),Immune
PDC PRECURSOR,Haem Progenitor,Immune (Progenitor),Immune
EO_BASO_MAST_PRECURSOR,Haem Progenitor,Immune (Progenitor),Immune
HSPC_2,Haem Progenitor,Immune (Progenitor),Immune
